name,site,phone,full_address,city,postal_code,state,country,latitude,longitude,working_hours,business_status,about,description
Maverick Dog Park,http://sanantonio.gov/,,"310 E Jones Ave, San Antonio, TX 78215",San Antonio,78215,Texas,United States of America,29.4345371,-98.4793431,"{""Sunday"": ""5AM-11PM"", ""Monday"": ""5AM-11PM"", ""Tuesday"": ""5AM-11PM"", ""Wednesday"": ""5AM-11PM"", ""Thursday"": ""5AM-11PM"", ""Friday"": ""5AM-11PM"", ""Saturday"": ""5AM-11PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true}, ""Pets"": {""Dogs allowed"": true}}",
Fox Dog Park,,,"Fox Park, 6518 W Hausman Rd, San Antonio, TX 78249",San Antonio,78249,Texas,United States of America,29.5711166,-98.6178728,"{""Sunday"": ""5AM-11PM"", ""Monday"": ""5AM-11PM"", ""Tuesday"": ""5AM-11PM"", ""Wednesday"": ""5AM-11PM"", ""Thursday"": ""5AM-11PM"", ""Friday"": ""5AM-11PM"", ""Saturday"": ""5AM-11PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Hardberger Park - Dog Park (West),,,"11672-000-0100, San Antonio, TX 78231",San Antonio,78231,TX,United States of America,29.5508928,-98.5309271,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Public restroom"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}, ""Pets"": {""Dogs allowed"": true}}",
Olmos Park Dog Park,,,"103 Alamo Heights Blvd, San Antonio, TX 78209",San Antonio,78209,Texas,United States of America,29.483009799999998,-98.4767273,,OPERATIONAL,"{""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Pearsall Dog Park,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Parks-Facilities-Details/ArtMID/14820/ArticleID/2528/Pearsall-Park,,"5414 Old Pearsall Rd #5346, San Antonio, TX 78242",San Antonio,78242,Texas,United States of America,29.356050399999997,-98.6006146,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Woodlawn Lake Dog Park,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Parks-Facilities-Details/ArtMID/14820/ArticleID/2456/Park/262,+1 210-207-7275,"115 Alexander Ave, San Antonio, TX 78201",San Antonio,78201,Texas,United States of America,29.449402199999998,-98.5282318,"{""Sunday"": ""8AM-10PM"", ""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Southside Lions Dog Park,,,"3303 Pecan Valley Dr, San Antonio, TX 78210",San Antonio,78210,Texas,United States of America,29.387755,-98.4330884,,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Children"": {""Kid-friendly hikes"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Paw Park at The Greenline,https://livebrooks.com/the-greenline/,,"8020 Dave Erwin Dr, San Antonio, TX 78235",San Antonio,78235,Texas,United States of America,29.3446435,-98.4534135,"{""Sunday"": ""6AM-11PM"", ""Monday"": ""6AM-11PM"", ""Tuesday"": ""6AM-11PM"", ""Wednesday"": ""6AM-11PM"", ""Thursday"": ""6AM-11PM"", ""Friday"": ""6AM-11PM"", ""Saturday"": ""6AM-11PM""}",OPERATIONAL,"{""Highlights"": {""Picnics"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Lady Bird Johnson Dog Park,,,"San Antonio, TX 78217",San Antonio,78217,Texas,United States of America,29.5324414,-98.4274193,"{""Sunday"": ""6AM-9:30PM"", ""Monday"": ""6AM-9:30PM"", ""Tuesday"": ""6AM-9:30PM"", ""Wednesday"": ""6AM-9:30PM"", ""Thursday"": ""6AM-9:30PM"", ""Friday"": ""6AM-9:30PM"", ""Saturday"": ""6AM-9:30PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
Blanco Road Dog Park in Phil Hardberger Park,https://www.philhardbergerpark.org/dog-parks,,"13203 Blanco Rd, San Antonio, TX 78216",San Antonio,78216,Texas,United States of America,29.5598922,-98.5192629,"{""Sunday"": ""7:30AM-7:30PM"", ""Monday"": ""7:30AM-7:30PM"", ""Tuesday"": ""7:30AM-7:30PM"", ""Wednesday"": ""7:30AM-7:30PM"", ""Thursday"": ""7:30AM-7:30PM"", ""Friday"": ""7:30AM-7:30PM"", ""Saturday"": ""7:30AM-7:30PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}",
