name,site,phone,full_address,city,postal_code,state,latitude,longitude,photo,working_hours,business_status,description,location_link
Wigglebottoms Indoor Dogpark & Market,,+1 832-228-4114,"25650 Interstate 45 706, Spring, TX 77386",Spring,77386,Texas,30.1324578,-95.4415323,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N2QjlV71Szoom2UiQwt_MA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=354.31357&pitch=0&thumbfov=100,"{""Sunday"": ""9AM-9PM"", ""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Wigglebottoms+Indoor+Dogpark+%26+Market/@30.132457799999997,-95.44153229999999,14z/data=!4m8!1m2!2m1!1sWigglebottoms+Indoor+Dogpark+%26+Market!3m4!1s0x864735067d2ad093:0x2181088eb9efa1d3!8m2!3d30.132457799999997!4d-95.44153229999999"
Champion Inn,,,"10000 US-59, Shepherd, TX 77371",Shepherd,77371,Texas,30.4448664,-95.0304337,https://lh3.googleusercontent.com/p/AF1QipNUP59x1C9SrRTvko8MdSL7pxO0PRd_o3euwY38=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Champion+Inn/@30.4448664,-95.03043369999999,14z/data=!4m8!1m2!2m1!1sChampion+Inn!3m4!1s0x86389fb3b187f5ed:0xd65960718e4c849a!8m2!3d30.4448664!4d-95.03043369999999"
Burroughs Dog Park,,,"9738 Hufsmith Rd, Tomball, TX 77375",Tomball,77375,Texas,30.1379224,-95.579087,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrNgS9pOgj76JUt3HLPcdC--O0_mPYPQgm6p3uOWYvX_taWYbgyQW-9FPdfFlo8reKnUgbdTVvjjWhTCiG75HSL4Ek_tySwHQwCWxkp6VQl9pWgerHQ3Sj-jjFTQSc9p6QIcodGXQ=w800-h500-k-no,"{""Sunday"": ""6:30AM-9PM"", ""Monday"": ""6:30AM-9PM"", ""Tuesday"": ""6:30AM-9PM"", ""Wednesday"": ""6:30AM-9PM"", ""Thursday"": ""6:30AM-9PM"", ""Friday"": ""6:30AM-9PM"", ""Saturday"": ""6:30AM-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Burroughs+Dog+Park/@30.137922399999997,-95.579087,14z/data=!4m8!1m2!2m1!1sBurroughs+Dog+Park!3m4!1s0x8640d4ae948f6759:0xda49c4871336642b!8m2!3d30.137922399999997!4d-95.579087"
Work and Woof,http://www.workandwoofatx.com/,+1 512-460-1488,"4930 S Congress Ave building a, Austin, TX 78745",Austin,78745,Texas,30.2127573,-97.7715521,https://lh3.googleusercontent.com/p/AF1QipM0GoyLcFTV90t8MlhxooBL4JT4rhfrUnJY9qB8=w800-h500-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""10AM-4PM""}",OPERATIONAL,"Work and Woof is a membership based Coworking Space, Daycare and Indoor/Outdoor playground for humans and dogs alike!","https://www.google.com/maps/place/Work+and+Woof/@30.2127573,-97.7715521,14z/data=!4m8!1m2!2m1!1sWork+and+Woof!3m4!1s0x8644b550fb1dfc97:0x1ff3807304fdf64a!8m2!3d30.2127573!4d-97.7715521"
Dog Park at Love's Travel Stops,https://www.loves.com/dogparks,+1 936-856-5085,"9600 Longstreet Rd, Willis, TX 77318",Willis,77318,Texas,30.4371702,-95.4973127,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVy5CR3iarw2Jw-eLa8UWMajWtrMP_9PNke4jX3atyR6oEqb1JcPzzSnMUAdyq8GFwuHtVYTG63XhvG4sVrzsAmOjWw3uJ7ZyhcQXZVvTybB3NIVicdGpwWPBL1GwUA_FZwgE=w800-h500-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",OPERATIONAL,,"https://www.google.com/maps/place/Dog+Park+at+Love%27s+Travel+Stops/@30.437170199999997,-95.4973127,14z/data=!4m8!1m2!2m1!1sDog+Park+at+Love%27s+Travel+Stops!3m4!1s0x864717d9841caa9f:0x4d081d5463f1b8a!8m2!3d30.437170199999997!4d-95.4973127"
Meyer Dog Park,,+1 281-353-8100,"16199 Stuebner Airline Rd, Spring, TX 77379",Spring,77379,Texas,30.0115035,-95.5187544,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqi5jcNmI345M5HJYUjSeYkL8kScuoRMsUffIXQUDrv2KQ8MZcGcL4DmEuIoUbfNwE6kUvlT0PhLKTHZx4-ap3x51EvpB474ADy-uNHLb7hyX1OYto6vJr9LvHrbaR9LpOcuh0=w800-h500-k-no,"{""Sunday"": ""7AM-9PM"", ""Monday"": ""7AM-9PM"", ""Tuesday"": ""7AM-9PM"", ""Wednesday"": ""7AM-9PM"", ""Thursday"": ""7AM-9PM"", ""Friday"": ""7AM-9PM"", ""Saturday"": ""7AM-9PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Meyer+Dog+Park/@30.0115035,-95.51875439999999,14z/data=!4m8!1m2!2m1!1sMeyer+Dog+Park!3m4!1s0x8640cce24c8b31ab:0x881722a028b8dff1!8m2!3d30.0115035!4d-95.51875439999999"
Gleannloch Farms Bark Park,http://www.gleannlochfarmsca.org/bark-park-access/,,"Spring, TX 77379",Spring,77379,Texas,30.0475905,-95.5696563,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nom2Gw6rQROeM847_bpStUETn0auyHUeQgvUhQ66VqN0RkFqo4k2LUG1mIG7SqoT6ygYG_cl2u3pGc6rrwncrvWDFYDyOodc44YCGX2JbiWXgj9woNq6ZhndPjFriK2T8H1lLdllA=w800-h500-k-no,"{""Sunday"": ""6AM-8PM"", ""Monday"": ""6AM-8PM"", ""Tuesday"": ""6AM-8PM"", ""Wednesday"": ""6AM-8PM"", ""Thursday"": ""6AM-8PM"", ""Friday"": ""6AM-8PM"", ""Saturday"": ""6AM-8PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Gleannloch+Farms+Bark+Park/@30.0475905,-95.56965629999999,14z/data=!4m8!1m2!2m1!1sGleannloch+Farms+Bark+Park!3m4!1s0x86472d53de7de3f3:0x2c6acdb128554474!8m2!3d30.0475905!4d-95.56965629999999"
Springwoods Village Dog Park,https://springwoodsvillage.com/amenities/parks-and-trails/,,"2323 E Mossy Oaks Rd, Spring, TX 77389",Spring,77389,Texas,30.0908149,-95.4519429,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOk83wE5UjzU4oMV-DkGm449lcdIx7_fpLGP_j1bxgjiEGAcpNIfviek3E8ERyAYJNDKWbtoQ1XyK-hk_K893vWvuTvw6hJPyJMEilWR5TLalXFQWECZRDE71GOgTct5WCvnoJ=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Springwoods+Village+Dog+Park/@30.090814899999998,-95.45194289999999,14z/data=!4m8!1m2!2m1!1sSpringwoods+Village+Dog+Park!3m4!1s0x864735dd37c35263:0xb792f0ee29541046!8m2!3d30.090814899999998!4d-95.45194289999999"
Rummy's Beach Club,https://rummysbeachclub.com/,+1 713-446-3805,"22111 Fields Ln, Spring, TX 77389",Spring,77389,Texas,30.085964,-95.503757,https://lh3.googleusercontent.com/p/AF1QipOymA8JQ6dpJ5TKHzXCiYEuapk4Dl71fMa8P7-K=w800-h500-k-no,"{""Sunday"": ""8AM-5PM"", ""Monday"": ""Closed"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-5PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Rummy%27s+Beach+Club/@30.085963999999997,-95.503757,14z/data=!4m8!1m2!2m1!1sRummy%27s+Beach+Club!3m4!1s0x8647330bdc3391f7:0x3c782b8bab45f340!8m2!3d30.085963999999997!4d-95.503757"
K9 Clubhouse Dog Day Care The Woodlands,https://www.k9clubhousetx.com/?utm_source=GMB-profile,+1 346-268-0314,"26515 Border St B-1, Spring, TX 77373",Spring,77373,Texas,30.0811715,-95.4237822,https://lh3.googleusercontent.com/p/AF1QipNoYN4DftQPl6-o-n_wEYMd03AoYia_IZFw8IqO=w800-h500-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}",OPERATIONAL,,"https://www.google.com/maps/place/K9+Clubhouse+Dog+Day+Care+The+Woodlands/@30.0811715,-95.42378219999999,14z/data=!4m8!1m2!2m1!1sK9+Clubhouse+Dog+Day+Care+The+Woodlands!3m4!1s0x8647354725c46e15:0x90056797a273d0b8!8m2!3d30.0811715!4d-95.42378219999999"
Bibi & Mini-Me Bush Dog Park,https://www.pct3.com/Explore/Parks,+1 713-274-0930,"4129 Spring Creek Dr, Spring, TX 77373",Spring,77373,Texas,30.082298,-95.3785472,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprLF7M76s1IWfjqdXJOIASBMMJUAkhVsy1sgjKN5oq87yx6kHnSql5h7YXx9qExphCHAIdrZ8G5GeQRX8Tz_plo2bF4T_eA1sxvI9kF-USZYTJPwvTJqn3knTPf9xRITMuA6LmmQ=w800-h500-k-no,"{""Sunday"": ""8AM-6:30PM"", ""Monday"": ""8AM-6:30PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM""}",OPERATIONAL,,"https://www.google.com/maps/place/Bibi+%26+Mini-Me+Bush+Dog+Park/@30.082297999999998,-95.3785472,14z/data=!4m8!1m2!2m1!1sBibi+%26+Mini-Me+Bush+Dog+Park!3m4!1s0x86474a91f2e0736f:0xe6cd3d77e6760400!8m2!3d30.082297999999998!4d-95.3785472"
Cattail Park Dog Park,,,"Cattail Park, 9323 Cochrans Crossing Dr, The Woodlands, TX 77381",The Woodlands,77381,Texas,30.1946067,-95.5271594,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noN0Pov0a8TWZvrkIEjl3Uwbja15RAhUWzQB3nRqhpJBHo3iuuHPW8mO1y-9NpBHwjExnamuxe0OoqQHFNV3k7HV-YcnYPL1Z_oYZMHxtUnRqkTOxx2xJYhnxyFggyedusfOyU=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Cattail+Park+Dog+Park/@30.194606699999998,-95.5271594,14z/data=!4m8!1m2!2m1!1sCattail+Park+Dog+Park!3m4!1s0x8647310ec301d5c3:0xc8740e206608a745!8m2!3d30.194606699999998!4d-95.5271594"
Bear Branch Dog Park,,,"5200 Research Forest Dr, The Woodlands, TX 77381",The Woodlands,77381,Texas,30.1920789,-95.4912248,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no1GYso5MF8OD7Ij830CAY_bXEzoXUsPp8c6NCzR7tHbc2vJm5BNe7h__JIRVbIOtA-SpqAiRN-DRrFr9aOQ6_NRFbmxrtoqEMLkn1ftXJgwWMLIXWZytlHW3Ct4wfZLUWGCCzJ6Q=w800-h500-k-no,,OPERATIONAL,,"https://www.google.com/maps/place/Bear+Branch+Dog+Park/@30.1920789,-95.4912248,14z/data=!4m8!1m2!2m1!1sBear+Branch+Dog+Park!3m4!1s0x8647317f0632ce6f:0xe0fd414309a68016!8m2!3d30.1920789!4d-95.4912248"
