name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,photo,working_hours,business_status,about,description,location_link
"Stay and Play Indoor Dog Park, LLC",https://stayandplayindoordogpark.com/,+1 878-232-1980,"2656 Ellwood Rd #104, New Castle, PA 16101",2656 Ellwood Rd #104,New Castle,16101,Pennsylvania,United States of America,40.9640911,-80.3095056,https://lh3.googleusercontent.com/p/AF1QipMCmel3i2MUSytjkheg14AWWwjAmUp3bylG1s3y=w800-h500-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-7PM"", ""Wednesday"": ""10AM-7PM"", ""Thursday"": ""10AM-7PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""10AM-4PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true, ""Dogs allowed inside"": true}, ""Other"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}}","Along with the dog park, we have a retail space, a pet self wash space, and GrandPaws Pet Salon and Boutique has their second grooming salon! Our mission is to provide a safe, clean, and fun environment where dogs and their owners can enjoy quality time together.","https://www.google.com/maps/place/Stay+and+Play+Indoor+Dog+Park%2C+LLC/@40.9640911,-80.3095056,14z/data=!4m8!1m2!2m1!1sStay+and+Play+Indoor+Dog+Park%2C+LLC!3m4!1s0x88338f911d17f2cb:0xd1af1928652c978b!8m2!3d40.9640911!4d-80.3095056"
Lindale Dog Park,https://www.galvestontx.gov/Facilities/Facility/Details/Lindale-Dog-Park-23,,"Galveston, TX 77550",,Galveston,77550,Texas,United States of America,29.317475599999998,-94.7733319,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwl6DDnN3_Nzw9JnJQFRWM-4RbQET0LnST1g7Vb3ijoUBxW5Uet2ckgOpZyLBYKJgoYmFnoqQI7s8gLBhOo4g3Nai_jUxtVQD-UDbUXAzEqVXXTIlw6ha8S6tYE5bQztOx_4U=w800-h500-k-no,,OPERATIONAL,"{""Amenities"": {""Picnic tables"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Playground"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Lindale+Dog+Park/@29.317475599999998,-94.7733319,14z/data=!4m8!1m2!2m1!1sLindale+Dog+Park!3m4!1s0x863f9ff0167056a9:0xabfb2434f8e12d28!8m2!3d29.317475599999998!4d-94.7733319"
Port Neches Splash Park,https://www.ci.port-neches.tx.us/community/port_neches_parks/spray_park.php,+1 409-722-4024,"606 Ave C, Port Neches, TX 77651",606 Ave C,Port Neches,77651,Texas,United States of America,29.994165,-93.9513016,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_uIzzXWWsjKZVfd0K4OohQD8p-N49TW5G0MAcPZuMe1U1EApl-P2W-vrEogi5h_FROZGhjsgrnw7lg7wBX7dpmNMZIf6SU3W7Zj-O-ei1XIxfJfHbJX3bQ4hFYlMa2lpy0gSaKGLiNvJD=w800-h500-k-no,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""10AM-8PM"", ""Sunday"": ""10AM-8PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true, ""Restaurant"": false}, ""Children"": {""Good for kids"": true, ""Playground"": true}}",,"https://www.google.com/maps/place/Port+Neches+Splash+Park/@29.994165,-93.9513016,14z/data=!4m8!1m2!2m1!1sPort+Neches+Splash+Park!3m4!1s0x863eb1439ced9f17:0x79c06691bbaf3f28!8m2!3d29.994165!4d-93.9513016"
Sabine Pass,,,"Port Arthur, TX",,Port Arthur,None,Texas,United States of America,29.733283399999998,-93.8948078,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4XzNZ3vr9ihGJAHhJOYDRec7OVLL79znZSJeFkw8RpaupCFpJTZ-Su0SC6ZIKWiDhJ7lSvQsYyxukOixYg9HsLdF13VWDTZq9H9TgML2VZ5pBQ27I2jhlffr-PEuWcSbKyzMkrA=w800-h500-k-no,,CLOSED_PERMANENTLY,{},"Sabine Pass is a neighborhood in Port Arthur, Texas. It had been incorporated in 1861 before being formally annexed by Port Arthur in 1978. However, Sabine Pass retains its own distinct identity with its own school district, post office, and port authority.","https://www.google.com/maps/place/Sabine+Pass/@29.733283399999998,-93.8948078,14z/data=!4m8!1m2!2m1!1sSabine+Pass!3m4!1s0x863ea2a7bc5f67e7:0x84a96e404d4eeda4!8m2!3d29.733283399999998!4d-93.8948078"
Tiny Tiger's Playhouse,https://www.tinytigersplayhousetx.com/,+1 409-385-4632,"Shopping Center, 114 Pine Plz, Silsbee, TX 77656","Shopping Center, 114 Pine Plz",Silsbee,77656,Texas,United States of America,30.3609199,-94.1718215,https://lh3.googleusercontent.com/p/AF1QipOpnSMYbO8JwumoGEOON5xJIon_WongSfckJ286=w800-h500-k-no,"{""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""10AM-6PM"", ""Sunday"": ""12-6PM""}",OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Highlights"": {""Active military discounts"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Offerings"": {""Food"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true, ""Restaurant"": false}, ""Crowd"": {""Family-friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Discounts for kids"": true, ""Good for kids"": true, ""Good for kids birthday"": true, ""Kid-friendly activities"": true, ""Playground"": true}, ""Other"": {""Identifies as women-owned"": true}}","Ready to get the kids out of the house and burn off energy? Tiny Tigers Playhouse is an indoor playground with open play 7 days a week. Our facility is designed for babies, toddlers, and early-elementary aged kids. With a 2 story play structure, slides, BEAM Interactive Playground, 6-section enclosed trampoline, and baby area (for under 3 yrs) your little one will be entertained for hours!

Tiny Tigers Playhouse offers a stress-free birthday party experience! Whether you’re hosting a small gathering with a few kids or throwing an all out birthday bash, we’ve got you covered! Check out our website for our party package options.","https://www.google.com/maps/place/Tiny+Tiger%27s+Playhouse/@30.3609199,-94.1718215,14z/data=!4m8!1m2!2m1!1sTiny+Tiger%27s+Playhouse!3m4!1s0x86393b266752267d:0x491e6b18aa8b7ddf!8m2!3d30.3609199!4d-94.1718215"
Lumberton Dog Park,,,"6QJC+2Q, Lumberton, TX 77657",6QJC+2Q,Lumberton,77657,Texas,United States of America,30.230119499999997,-94.2280475,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtKNr3JTxrllU14nBbkYFDWFerH0BjvEqRhK-XWBOmaYpkGTjg9lvj3PoGvl2hYPZOGR-aAwgNwo__yCYmvAO9qeoFxVwc-eB2mHpf5QPCAnHEIwRSzYG6YUpDi49JRbYPoHRn=w800-h500-k-no,"{""Monday"": ""5:30AM-9PM"", ""Tuesday"": ""5:30AM-9PM"", ""Wednesday"": ""5:30AM-9PM"", ""Thursday"": ""5:30AM-9PM"", ""Friday"": ""5:30AM-9PM"", ""Saturday"": ""5:30AM-9PM"", ""Sunday"": ""5:30AM-9PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dogs allowed"": true}}",,"https://www.google.com/maps/place/Lumberton+Dog+Park/@30.230119499999997,-94.2280475,14z/data=!4m8!1m2!2m1!1sLumberton+Dog+Park!3m4!1s0x863931bfc560aded:0xef334692789120b9!8m2!3d30.230119499999997!4d-94.2280475"
Happy Dog Storage - Sour Lake,https://www.rightmovestorage.com/storage-locations/tx/sour-lake/22911-tx-105/?utm_source=google,+1 409-755-1111,"22911 TX-105, Sour Lake, TX 77659",22911 TX-105,Sour Lake,77659,Texas,United States of America,30.1389885,-94.4259166,https://lh3.googleusercontent.com/p/AF1QipPVpt9cDKGXOg3Vb-VxumVKBn0bdZNtsflyVfio=w800-h500-k-no,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","We offer quality climate-controlled self storage units for all of our Sour Lake and Grayburg neighbors.
If you’re worried about the Texas heat damaging your stored items, keep them safe with our air-conditioned self storage units.
We’re located right alongside TX-105, just a little way west of the center of Sour Lake. This makes us a great choice for anyone in Sour Lake, Grayburg, or the surrounding areas. We’re also convenient to Pinewood Estates and Bevil Oaks!
The Texas heat can be tough on some materials. If you’re looking to store electronics, wood, leather, antiques, or collectibles, upgrade to our climate-controlled self storage units!","https://www.google.com/maps/place/Happy+Dog+Storage+-+Sour+Lake/@30.1389885,-94.4259166,14z/data=!4m8!1m2!2m1!1sHappy+Dog+Storage+-+Sour+Lake!3m4!1s0x297855f2a118f0a1:0x3fc66c43cbe51f1b!8m2!3d30.1389885!4d-94.4259166"
Unleashed Canine,https://www.unleashedcanine.net/,+1 409-201-2233,"214 Co Rd 4632, Spurger, TX 77660",214 Co Rd 4632,Spurger,77660,Texas,United States of America,30.5953536,-94.1683599,https://lh3.googleusercontent.com/p/AF1QipNqpiK6Jr2VoaYQZAE8LjNjYr49VPAWGU5Bdncd=w800-h500-k-no,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","Unleashed is situated on 9 beautiful acres with an indoor training & boarding facility. 24-7 Management on sight. We can cover all of your training needs, basic, advanced obedience to aggressive dogs & behavior modification. We also offer short & long-term boarding!","https://www.google.com/maps/place/Unleashed+Canine/@30.5953536,-94.1683599,14z/data=!4m8!1m2!2m1!1sUnleashed+Canine!3m4!1s0x86391193ec94c165:0x27352f64cf4e0702!8m2!3d30.5953536!4d-94.1683599"
Woofs Canine Club & Indoor Dog Park,http://woofscc.com/,+1 585-222-7537,"187 W Main St, Webster, NY 14580",187 W Main St,Webster,14580,New York,United States of America,43.2123518,-77.4377015,https://lh3.googleusercontent.com/p/AF1QipPfqrUeOFluZy7I2TIxJwL6TfPouxxUOfWNJ614=w800-h500-k-no,"{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""10AM-6PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Pets"": {""Dog park"": true, ""Dogs allowed"": true}}","Bringing Dog Families Together in a Safe, Fun, & Holistic Way!","https://www.google.com/maps/place/Woofs+Canine+Club+%26+Indoor+Dog+Park/@43.2123518,-77.4377015,14z/data=!4m8!1m2!2m1!1sWoofs+Canine+Club+%26+Indoor+Dog+Park!3m4!1s0x89d6cf0dc7ff0633:0x8428aa7176329b77!8m2!3d43.2123518!4d-77.4377015"
Playing at the ORC,,+1 409-422-4300,"1004 N Main St, Vidor, TX 77662",1004 N Main St,Vidor,77662,Texas,United States of America,30.1356912,-94.01552509999999,https://lh3.googleusercontent.com/p/AF1QipMc9oKOdr6X6sx7QZoNYH5tD-38_JFST5gK8hR9=w800-h500-k-no,"{""Monday"": ""12-5PM"", ""Tuesday"": ""12-6PM"", ""Wednesday"": ""12-6PM"", ""Thursday"": ""12-6PM"", ""Friday"": ""12-6PM"", ""Saturday"": ""1-6PM"", ""Sunday"": ""1-6PM""}",OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Public restroom"": true, ""Swings"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids birthday"": true}}",,"https://www.google.com/maps/place/Playing+at+the+ORC/@30.1356912,-94.01552509999999,14z/data=!4m8!1m2!2m1!1sPlaying+at+the+ORC!3m4!1s0x86394b292a342477:0x678608a0fe969bb9!8m2!3d30.1356912!4d-94.01552509999999"
